撒上31‧1；代上10‧1－12
撒下5‧1；代上11‧1－9；14‧1－7
撒下5‧17；代上14‧8－17
撒下6‧1；代上13‧1－14；15‧25－16‧6，43
撒下7‧1；代上17‧1－15
撒下7‧18；代上17‧16－27
撒下8‧1；代上18‧1－17
撒下10‧1；代上19‧1－19
撒下12‧26；代上20‧1－3
撒下21‧15；代上20‧4－8
撒下22‧1；詩18
撒下23‧8；代上11‧10－47
撒下24‧1；代上21‧1－27
王上3‧1；代下1‧3－12
王上5‧1；代下2‧1－18
王上6‧14；代下3‧8－14
王上7‧15；代下3‧15－17
王上7‧23；代下4‧2－5
王上7‧40；代下4‧11－5‧1
王上8‧1；代下5‧2－6‧2
王上8‧14；代下6‧3－11
王上8‧22；代下6‧12－42
王上8‧62；代下7‧4－10
王上9‧1；代下7‧11－22
王上9‧10；代下8‧1－2
王上9‧15；代下8‧3－18
王上10‧1；代下9‧1－12
王上10‧14；代下9‧13－28
王上11‧41；代下9‧29－31
王上12‧1；代下10‧1－19
王上12‧21；代下11‧1－4
王上14‧21；代下11‧5－12‧15
王上15‧1；代下13‧1－14‧1
王上15‧9；代下15‧16－16‧6
王上22‧1；代下18‧2－27
王上22‧29；代下18‧28－34
王上22‧41；代下20‧31－21‧1
王下8‧16；代下21‧1－20
王下8‧25；代下22‧1－6
王下11‧1；代下22‧10－23‧15
王下11‧17；代下23‧16－21
王下12‧1；代下24‧1－16
王下14‧1；代下25‧1－24
王下14‧17；代下25‧25－28
王下15‧1；代下26‧1－23
王下15‧32；代下27‧1－9
王下16‧1；代下28‧1－27
王下18‧1；代下29‧1－2；30‧1
王下18‧13；代下32‧1－19；賽36‧1－22
王下19‧1；賽37‧1－7
王下19‧8；賽37‧8－20
王下19‧20；賽37‧20－37
王下20‧1；賽38‧1－8；21－22；代下32‧24－26
王下20‧12；賽39‧1－8
王下20‧20；代下32‧32－33
王下21‧1；代下33‧1－20
王下21‧19；代下33‧21－25
王下22‧1；代下34‧1－2
王下22‧3；代下34‧8－28
王下23‧1；代下34‧3－7；29－33
王下23‧21；代下35‧1－19
王下23‧28；代下35‧20－36‧1
王下23‧31；代下36‧2－4
王下23‧35；代下36‧5－8
王下24‧8；代下36‧9－10
王下24‧18；代下36‧11－12；耶52‧1－3
王下25‧1；代下36‧13－21；耶52‧3－11
王下25‧8；耶52‧12－33
王下25‧18；耶52‧24－27
王下25‧22；耶40‧7－9；41‧1－3
王下25‧27；耶52‧31－34
代上1‧1；創5‧1－32；10‧1－32；11‧10－26
代上1‧28；創25‧12－16
代上1‧34；創36‧1－19
代上1‧38；創36‧20－30
代上1‧43；創36‧31－43
代上9‧35；代上8‧29－38
代上10‧1；撒上31‧1－13
代上11‧1；撒下5‧1－10
代上11‧10；撒下23‧8－39
代上13‧1；撒下6‧1－11
代上14‧1；撒下5‧11－16
代上14‧8；撒下5‧17－25
代上15‧25；撒下6‧12－22
代上16‧8；詩105‧1－15；96‧1－13；106‧1，47－48
代上17‧1；撒下7‧1－17
代上17‧16；撒下7‧18－29
代上18‧1；撒下8‧1－18
代上19‧1；撒下10‧1－19
代上20‧1；撒下12‧26－31
代上20‧4；撒下21‧15－22
代上21‧1；撒下24‧1－25
代下1‧1；王上3‧1－15
代下1‧14；王上10‧26－29
代下2‧1；王上5‧1－18
代下2‧17；王上6‧1－38
代下3‧15；王上7‧15－22
代下4‧1；王上7‧23－51
代下5‧2；王上8‧1－9
代下6‧1；王上8‧12－21
代下6‧12；王上8‧22－53
代下7‧1；王上8‧62－66
代下7‧11；王上9‧1－9
代下8‧1；王上9‧10－28
代下9‧1；王上10‧1－13
代下9‧13；王上10‧14－25
代下9‧29；王上11‧41－43
代下10‧1；王上12‧1－20
代下11‧1；王上12‧21－24
代下12‧1；王上14‧25－28
代下13‧1；王上15‧1－8
代下16‧1；王上15‧17－22
代下16‧11；王上15‧23－24
代下18‧1；王上22‧1－28
代下18‧28；王上22‧29－35
代下20‧31；王上22‧41－50
代下21‧2；王下8‧17－24
代下22‧1；王下8‧25－29；9‧21－28
代下22‧10；王下11‧1－3
代下23‧1；王下11‧4－16
代下23‧16；王下11‧17－20
代下24‧1；王下12‧1－16
代下25‧1；王下14‧2－6
代下25‧5；王下14‧7
代下25‧17；王下14‧8－20
代下26‧1；王下14‧21－22；15‧1－7
代下27‧1；王下15‧32－38
代下28‧1；王下16‧1－4
代下28‧5；王下16‧5
代下28‧16；王下16‧7－9
代下29‧1；王下18‧1－3
代下32‧32；王下20‧20－21
代下33‧1；王下21‧1－9
代下33‧18；王下21‧17－18
代下33‧21；王下21‧19－26
代下34‧1；王下22‧1－2
代下34‧8；王下22‧3－20
代下34‧29；王下23‧1－20
代下35‧1；王下23‧21－23
代下35‧20；王下23‧28－30
代下36‧1；王下23‧30－35
代下36‧5；王下23‧36－24‧7
代下36‧9；王下24‧8－17
代下36‧11；王下24‧18－20；耶52‧1－3
代下36‧13；王下25‧1－21；耶52‧3－11
代下36‧22；拉1‧1－4
尼7‧4；拉2‧1－70
賽2‧1－4；彌4‧1－3
賽36‧1；王下18‧13－37；代下32‧1－19
賽37‧1；王下19‧1－7
賽37‧8；王下19‧8－19
賽37‧21；王下19‧20－37
賽38‧1；王下20‧1－11；代下32‧24－26
賽39‧1；王下20‧12－19
耶52‧1；王下24‧18－25‧7
耶52‧12；王下25‧8－17
耶52‧24；王下25‧18－21，27－30
彌4‧1－3；賽2‧1－4
