【道成肉身】
【上帝的羔羊】
【初次選召門徒】
【呼召腓力和拿但業】
【迦拿的婚禮】
【耶穌洞悉人心】
【耶穌與尼哥德慕】
【耶穌和施洗約翰】
【從天上來的那一位】
【耶穌和撒馬利亞婦人】
【耶穌治好大臣的兒子】
【在畢士大池邊治病】
【子的權柄】
【為耶穌作證】
【耶穌是生命的糧】
【永生的話語】
【耶穌的兄弟不信】
【耶穌過住棚節】
【這是基督嗎？】
【差役捉拿耶穌】
【活水的江河】
【群眾因耶穌而紛爭】
【猶太領袖的不信】
【行淫時被捉的女人】
【耶穌是世界的光】
【我所去的地方你們不能到】
【真理必使你們得自由】
【你們的父是魔鬼】
【還沒有亞伯拉罕就有了我】
【治好生來瞎眼的】
【法利賽人盤問醫治的事】
【靈性的盲目】
【羊圈的比喻】
【好牧人耶穌】
【被猶太人棄絕】
【拉撒路的死】
【復活在我，生命在我】
【耶穌哭了】
【拉撒路復活】
【殺害拉撒路的陰謀】
【希臘人求見耶穌】
【人子必須被舉起來】
【猶太人的不信】
【耶穌的話要審判人】
【耶穌為門徒洗腳】
【新的命令】
【耶穌是道路、真理、生命】
【應許賜聖靈】
【耶穌是真葡萄樹】
【世人的憎恨】
【聖靈的工作】
【憂愁變為喜樂】
【我已經勝過世界】
【耶穌的禱告】
【耶穌被帶到亞那面前】
【肋旁被扎】
【耶穌和多馬】
【本書的目的】
【耶穌向七個門徒顯現】
【耶穌和彼得】
【耶穌和他所愛的那門徒】
約1‧1
約1‧29
約1‧35
約1‧43
約2‧1
約2‧23
約3‧1
約3‧22
約3‧31
約4‧1
約4‧43
約5‧1
約5‧19
約5‧31
約6‧22
約6‧60
約7‧1
約7‧10
約7‧25
約7‧32
約7‧37
約7‧40
約7‧45
約8‧1
約8‧12
約8‧21
約8‧31
約8‧39
約8‧48
約9‧1
約9‧13
約9‧35
約10‧1
約10‧7
約10‧22
約11‧1
約11‧17
約11‧28
約11‧38
約12‧9
約12‧20
約12‧27
約12‧36
約12‧44
約13‧1
約13‧31
約14‧1
約14‧15
約15‧1
約15‧18
約16‧4
約16‧17
約16‧25
約17‧1
約18‧12
約19‧31
約20‧24
約20‧30
約21‧1
約21‧15
約21‧20
43.1.1;
43.1.29;
43.1.35;
43.1.43;
43.2.1;
43.2.23;
43.3.1;
43.3.22;
43.3.31;
43.4.1;
43.4.43;
43.5.1;
43.5.19;
43.5.31;
43.6.22;
43.6.60;
43.7.1;
43.7.10;
43.7.25;
43.7.32;
43.7.37;
43.7.40;
43.7.45;
43.8.1;
43.8.12;
43.8.21;
43.8.31;
43.8.39;
43.8.48;
43.9.1;
43.9.13;
43.9.35;
43.10.1;
43.10.7;
43.10.22;
43.11.1;
43.11.17;
43.11.28;
43.11.38;
43.12.9;
43.12.20;
43.12.27;
43.12.36;
43.12.44;
43.13.1;
43.13.31;
43.14.1;
43.14.15;
43.15.1;
43.15.18;
43.16.4;
43.16.17;
43.16.25;
43.17.1;
43.18.12;
43.19.31;
43.20.24;
43.20.30;
43.21.1;
43.21.15;
43.21.20;
