詩14‧1；詩53
詩18‧1；撒下22‧1－51
詩40‧12；詩70
詩53‧1；詩14
詩70‧1；詩40‧13－17
詩96‧1；代上16‧23－33
詩105‧1；代上16‧8－22
詩108‧1；詩57‧7－11；詩60‧5－12
