創5‧1；代上1‧1－4
創10‧1；代上1‧5－23
創11‧10；代上1‧24－27
創25‧1；代上1‧32－33
創25‧12；代上1‧28－31
創35‧22；代上2‧1－2
創36‧1；代上1‧34－37
創36‧20；代上1‧38－42
創36‧31；代上1‧43－54
出17‧1；民20‧1－13
出18‧13；申1‧9－18
出20‧1；申5‧1－21
出20‧18；申5‧22－23
出21‧1；申15‧12－18
出23‧14；出34‧18－26；申16‧1－17
出25‧1；出35‧4－9
出25‧10；出37‧1－9
出25‧23；出37‧10－16
出25‧31；出37‧17－24
出26‧1；出36‧8－38
出27‧1；出38‧1－7
出27‧9；出38‧9－20
出27‧20；利24‧1－4
出28‧1；出39‧1－7
出28‧15；出39‧8－21
出28‧31；出39‧22－31
出29‧1；利8‧1－36
出29‧38；民28‧1－8
出30‧1；出37‧25－28
出31‧1；出35‧30－36‧1
出32‧1；申9‧6－29
出34‧1；申10‧1－5
出34‧10；出23‧14－19；申7‧1－5；16‧1－17
出35‧4；出25‧1－9
出35‧10；出39‧32－43
出35‧30；出31‧1－11
出36‧8；出26‧1－37
出37‧1；出25‧10－22
出37‧10；出25‧23－30
出37‧17；出25‧31－40
出37‧25；出30‧1－5
出37‧29；出30‧22－38
出38‧1；出27‧1－8
出38‧8；出30‧18
出38‧9；出27‧9－19
出39‧1；出28‧1－14
出39‧8；出28‧15－30
出39‧22；出28‧31－43
出39‧32；出35‧10－19
出40‧34；民9‧15－23
利8‧1；出29‧1－37
利11‧1；申14‧3－21
利23‧5；民28‧16－25
利23‧15；民28‧26－31
利23‧23；民29‧1－6
利23‧26；民29‧7－11
利23‧33；民29‧12－40
利24‧1；出27‧20－21
利25‧1；申15‧1－11
利26‧1；申7‧12－24；28‧1－14
利26‧14；申28‧15－68
民9‧15；出40‧34－38
民13‧1；申1‧19－33
民14‧39；申1‧41－46
民20‧1；出17‧1－7
民21‧21；申2‧26－3‧11
民27‧12；申31‧1－8
民28‧1；出29‧38－46
民28‧16；利23‧5－14
民28‧26；利23‧15－22
民29‧1；利23‧23－25
民29‧7；利23‧26－32
民29‧12；利23‧33－44
民32‧1；申3‧12－22
民35‧9；申19‧1－13；書20‧1－9
申1‧9；出18‧13－27
申1‧19；民13‧1－33
申1‧34；民14‧20－45
申2‧26；民21‧21－30
申3‧1；民21‧31－35
申3‧12；民32‧1－42
申5‧1；出20‧1－17
申5‧23；出20‧18－21
申7‧1；出34‧11－16
申7‧12；申28‧1－14
申10‧1；出34‧1－10
申14‧3；利11‧1－47
申15‧1；利25‧1－7
申15‧12；出21‧1－11
申16‧1；出12‧1－20
申16‧9；出34‧22；利23‧15－21
申16‧13；利23‧33－43
申19‧1；民35‧9－28；書20‧1－9
申28‧1；利26‧3－13；申7‧12－24
申28‧15；利26‧14－46
書15‧13；士1‧11－15
書20‧1；民35‧9－28；申19‧1－13
士1‧11；書15‧13－19
