【博士朝拜】
【逃往埃及】
【屠殺男孩】
【從埃及回來】
【山上寶訓】
【論律法】
【論發怒】
【論姦淫】
【論起誓】
【論施捨】
【論禁食】
【兩個瞎子得醫治】
【治好啞巴】
【耶穌的憐憫】
【上帝所揀選的僕人】
【稗子的比喻】
【解明稗子的比喻】
【藏寶、尋珠、撒網的比喻】
【新舊的東西】
【治好許多病人】
【繳納殿稅】
【如何對待犯過錯的弟兄】
【不饒恕人的惡僕】
【葡萄園的比喻】
【兩個兒子的比喻】
【十童女的比喻】
【萬民受審判】
【猶大的死】
【封石妥守】
【看守的兵報告祭司長】
太2‧1
太2‧13
太2‧16
太2‧19
太5‧1
太5‧17
太5‧21
太5‧27
太5‧33
太6‧1
太6‧16
太9‧27
太9‧32
太9‧35
太12‧15
太13‧24
太13‧36
太13‧44
太13‧51
太15‧29
太17‧24
太18‧15
太18‧21
太20‧1
太21‧28
太25‧1
太25‧31
太27‧3；徒1‧18－19
太27‧62
太28‧11
40.2.1;
40.2.13;
40.2.16;
40.2.19;
40.5.1;
40.5.17;
40.5.21;
40.5.27;
40.5.33;
40.6.1;
40.6.16;
40.9.27;
40.9.32;
40.9.35;
40.12.15;
40.13.24;
40.13.36;
40.13.44;
40.13.51;
40.15.29;
40.17.24;
40.18.15;
40.18.21;
40.20.1;
40.21.28;
40.25.1;
40.25.31;
40.27.3;44.1.18;
40.27.62;
40.28.11;
