【海邊的群眾】
【種子長大的比喻】
【耶穌治好耳聾舌結的人】
【治好伯賽大的瞎子】
【逃走的少年人】
可3‧7
可4‧26
可7‧31
可8‧22
可14‧51
41.3.7;
41.4.26;
41.7.31;
41.8.22;
41.14.51;
