【寫給提阿非羅】
【預言施洗約翰的誕生】
【預言耶穌的降生】
【馬利亞訪問伊利莎白】
【馬利亞的尊主頌】
【施洗約翰的出生】
【撒迦利亞的預言】
【天使報喜訊給牧羊的人】
【在聖殿裏獻與主】
【回拿撒勒】
【孩童耶穌在聖殿裏】
【使拿因城寡婦之子復活】
【有罪的女人得蒙赦免】
【跟從耶穌的婦女們】
【不接待主的村莊】
【主差遣七十人】
【七十個人回來】
【好撒馬利亞人】
【耶穌探望馬大和馬利亞】
【真正的福】
【無知財主的比喻】
【悔改或滅亡】
【不結實的無花果樹】
【安息日治好駝背的女人】
【在安息日治好臌脹的人】
【給客人和主人的教訓】
【失錢的比喻】
【浪子的比喻】
【不義的管家】
【財主和拉撒路】
【治好十個長大痲瘋的】
【寡婦和法官的比喻】
【法利賽人和稅吏的禱告】
【耶穌和撒該】
【從無花果樹學功課】
【勸告門徒警醒】
【爭論誰為大】
【錢囊、口袋、刀】
【希律藐視耶穌】
路1‧2
路1‧5
路1‧26
路1‧39
路1‧46
路1‧57
路1‧67
路2‧8
路2‧22
路2‧39
路2‧41
路7‧11
路7‧36
路8‧1
路9‧51
路10‧1
路10‧17
路10‧25
路10‧38
路11‧27
路12‧13
路13‧1
路13‧6
路13‧10
路14‧1
路14‧7
路15‧8
路15‧11
路16‧1
路16‧19
路17‧11
路18‧1
路18‧9
路19‧1
路21‧29
路21‧34
路22‧24
路22‧35
路23‧6
42.1.2;
42.1.5;
42.1.26;
42.1.39;
42.1.46;
42.1.57;
42.1.67;
42.2.8;
42.2.22;
42.2.39;
42.2.41;
42.7.11;
42.7.36;
42.8.1;
42.9.51;
42.10.1;
42.10.17;
42.10.25;
42.10.38;
42.11.27;
42.12.13;
42.13.1;
42.13.6;
42.13.10;
42.14.1;
42.14.7;
42.15.8;
42.15.11;
42.16.1;
42.16.19;
42.17.11;
42.18.1;
42.18.9;
42.19.1;
42.21.29;
42.21.34;
42.22.24;
42.22.35;
42.23.6;
