033	4	33	The Renewal of the Covenant	<ref onclick="bcv(2,34,10)">Exod 34:10</ref>；<ref onclick="bcv(2,23,14,23,19)">Exod 23:14-19</ref>；<ref onclick="bcv(5,7,1,7,5)">Deut 7:1-5</ref>； 16:1-17
034	4	34	The Materials for the tabernacle	<ref onclick="bcv(2,35,4)">Exod 35:4</ref>；<ref onclick="bcv(2,25,1,25,9)">Exod 25:1-9</ref>
035	4	35	The Furniture of the tabernacle	<ref onclick="bcv(2,35,10)">Exod 35:10</ref>；<ref onclick="bcv(2,39,32,39,43)">Exod 39:32-43</ref>
036	4	36	The Builders of the tabernacle	<ref onclick="bcv(2,35,30)">Exod 35:30</ref>；<ref onclick="bcv(2,31,1,31,11)">Exod 31:1-11</ref>
037	4	37	The Curtains	<ref onclick="bcv(2,36,8)">Exod 36:8</ref>；<ref onclick="bcv(2,26,1,26,37)">Exod 26:1-37</ref>
038	4	38	The Ark of the Covenant	<ref onclick="bcv(2,37,1)">Exod 37:1</ref>；<ref onclick="bcv(2,25,10,25,22)">Exod 25:10-22</ref>
039	4	39	The Table of Shewbread	<ref onclick="bcv(2,37,10)">Exod 37:10</ref>；<ref onclick="bcv(2,25,23,25,30)">Exod 25:23-30</ref>
040	4	40	The Golden Candlestick	<ref onclick="bcv(2,37,17)">Exod 37:17</ref>；<ref onclick="bcv(2,25,31,25,40)">Exod 25:31-40</ref>
041	4	41	The Altar of Incense	<ref onclick="bcv(2,37,25)">Exod 37:25</ref>；<ref onclick="bcv(2,30,1,30,5)">Exod 30:1-5</ref>
042	4	42	The Sacred Anointing	<ref onclick="bcv(2,37,29)">Exod 37:29</ref>；<ref onclick="bcv(2,30,22,30,38)">Exod 30:22-38</ref>
043	4	43	The Altar of Burnt Offerings	<ref onclick="bcv(2,38,1)">Exod 38:1</ref>；<ref onclick="bcv(2,27,1,27,8)">Exod 27:1-8</ref>
044	4	44	The Laver of Brass	<ref onclick="bcv(2,38,8)">Exod 38:8</ref>；<ref onclick="bcv(2,30,18)">Exod 30:18</ref>
045	4	45	The Court	<ref onclick="bcv(2,38,9)">Exod 38:9</ref>；<ref onclick="bcv(2,27,9,27,19)">Exod 27:9-19</ref>
046	4	46	The Garments for the Priests	<ref onclick="bcv(2,39,1)">Exod 39:1</ref>；<ref onclick="bcv(2,28,1,28,14)">Exod 28:1-14</ref>
047	4	47	The Ephod	<ref onclick="bcv(2,39,8)">Exod 39:8</ref>；<ref onclick="bcv(2,28,15,28,30)">Exod 28:15-30</ref>
048	4	48	Priestly Garments	<ref onclick="bcv(2,39,22)">Exod 39:22</ref>；<ref onclick="bcv(2,28,31,28,43)">Exod 28:31-43</ref>
049	4	49	Moses Looks upon the Tabernacle	<ref onclick="bcv(2,39,32)">Exod 39:32</ref>；<ref onclick="bcv(2,35,10,35,19)">Exod 35:10-19</ref>
050	4	50	God Fills the Tabernacle with His Glory	<ref onclick="bcv(2,40,34)">Exod 40:34</ref>；<ref onclick="bcv(4,9,15,9,23)">Num 9:15-23</ref>
051	4	51	Consecration Commanded by God	<ref onclick="bcv(3,8,1)">Lev 8:1</ref>；<ref onclick="bcv(2,29,1,29,37)">Exod 29:1-37</ref>
052	4	52	Animals of the Earth	<ref onclick="bcv(3,11,1)">Lev 11:1</ref>；<ref onclick="bcv(5,14,3,14,21)">Deut 14:3-21</ref>
053	4	53	Passover	<ref onclick="bcv(3,23,5)">Lev 23:5</ref>；<ref onclick="bcv(4,28,16,28,25)">Num 28:16-25</ref>
054	4	54	Pentecost	<ref onclick="bcv(3,23,15)">Lev 23:15</ref>；<ref onclick="bcv(4,28,26,28,31)">Num 28:26-31</ref>
055	4	55	Trumpets	<ref onclick="bcv(3,23,23)">Lev 23:23</ref>；<ref onclick="bcv(4,29,1,29,6)">Num 29:1-6</ref>
056	4	56	Day of Atonement	<ref onclick="bcv(3,23,26)">Lev 23:26</ref>；<ref onclick="bcv(4,29,7,29,11)">Num 29:7-11</ref>
